rank,accuracy,n_mfcc,n_fft,win_len,hop_len,n_mels,delta,delta2,gmm_comp,gmm_cov
541,87.50,16,512,512,160,26,True,False,12,diag
542,87.50,16,512,512,160,32,False,False,4,tied
543,87.50,16,512,512,200,26,False,False,4,tied
544,87.50,16,512,512,200,26,False,False,8,tied
545,87.50,16,1024,400,160,26,False,False,4,tied
546,87.50,16,1024,400,160,32,False,False,4,tied
547,87.50,16,1024,400,160,26,True,True,8,tied
548,87.50,16,1024,400,160,32,False,False,12,tied
549,87.50,16,1024,400,200,26,False,False,4,tied
550,87.50,16,1024,400,200,26,False,False,8,tied
551,87.50,16,1024,400,200,26,False,False,12,tied
552,87.50,16,1024,400,200,32,False,False,4,tied
553,87.50,16,1024,400,200,32,False,False,12,tied
554,87.50,16,1024,400,200,32,True,False,8,diag
555,87.50,16,1024,512,160,26,False,False,4,tied
556,87.50,16,1024,512,160,26,False,False,8,tied
557,87.50,16,1024,512,160,26,True,False,12,diag
558,87.50,16,1024,512,160,32,False,False,4,tied
559,87.50,16,1024,512,200,26,False,False,4,tied
560,87.50,16,1024,512,200,26,False,False,8,tied
561,87.50,16,1024,512,200,32,False,False,4,tied
562,87.50,20,512,400,160,26,True,False,4,tied
563,87.50,20,512,400,160,26,True,True,4,tied
564,87.50,20,512,400,160,26,True,False,12,diag
565,87.50,20,512,400,160,26,True,False,12,tied
566,87.50,20,512,400,160,26,True,True,8,tied
567,87.50,20,512,400,160,26,True,True,12,tied
568,87.50,20,512,400,160,32,True,False,4,tied
569,87.50,20,512,400,160,32,True,False,12,diag
570,87.50,20,512,400,160,32,True,False,12,tied
571,87.50,20,512,400,160,32,True,True,8,diag
572,87.50,20,512,400,160,32,True,True,12,diag
573,87.50,20,512,400,200,32,False,False,8,tied
574,87.50,20,512,400,200,32,True,False,8,tied
575,87.50,20,512,400,200,32,True,False,8,diag
576,87.50,20,512,400,200,32,True,True,4,tied
577,87.50,20,512,512,160,26,True,False,4,tied
578,87.50,20,512,512,160,26,True,True,4,tied
579,87.50,20,512,512,160,26,True,True,12,diag
580,87.50,20,512,512,160,26,True,True,12,tied
581,87.50,20,512,512,200,26,True,False,4,tied
582,87.50,20,512,512,200,26,True,False,12,diag
583,87.50,20,512,512,200,26,True,False,8,tied
584,87.50,20,512,512,200,26,True,False,12,tied
585,87.50,20,512,512,200,26,True,True,8,tied
586,87.50,20,512,512,200,32,True,False,4,tied
587,87.50,20,512,512,200,32,True,False,12,tied
588,87.50,20,512,512,200,32,True,True,12,tied
589,87.50,20,1024,400,160,26,True,False,4,tied
590,87.50,20,1024,400,160,26,True,True,4,tied
591,87.50,20,1024,400,160,26,True,False,12,tied
592,87.50,20,1024,400,160,26,True,True,8,diag
593,87.50,20,1024,400,160,26,True,True,8,tied
594,87.50,20,1024,400,160,26,True,True,12,tied
595,87.50,20,1024,400,160,32,True,False,4,tied
596,87.50,20,1024,400,160,32,True,False,8,diag
597,87.50,20,1024,400,160,32,True,False,12,tied
598,87.50,20,1024,400,160,32,True,True,8,diag
599,87.50,20,1024,400,160,32,True,True,12,diag
600,87.50,20,1024,400,160,32,True,True,12,tied
601,87.50,20,1024,400,200,26,True,False,12,diag
602,87.50,20,1024,400,200,32,True,True,4,tied
603,87.50,20,1024,400,200,32,True,False,12,tied
604,87.50,20,1024,400,200,32,True,True,12,tied
605,87.50,20,1024,512,160,26,True,False,4,tied
606,87.50,20,1024,512,160,26,True,False,12,diag
607,87.50,20,1024,512,160,26,True,True,12,diag
608,87.50,20,1024,512,160,26,True,True,12,tied
609,87.50,20,1024,512,160,26,True,True,4,tied
610,87.50,20,1024,512,160,32,True,False,4,tied
611,87.50,20,1024,512,160,32,True,True,12,tied
612,87.50,20,1024,512,200,26,True,False,4,tied
613,87.50,20,1024,512,200,26,True,False,12,diag
614,87.50,20,1024,512,200,26,True,False,8,tied
615,87.50,20,1024,512,200,26,True,True,8,tied
616,87.50,20,1024,512,200,32,False,False,12,tied
617,85.00,13,512,400,160,26,False,False,4,tied
618,85.00,13,512,400,200,32,False,False,12,tied
619,85.00,13,512,512,160,26,False,False,4,tied
620,85.00,13,512,512,160,26,False,False,8,tied
621,85.00,13,512,512,160,26,False,False,12,diag
622,85.00,13,512,512,200,32,False,False,12,diag
623,85.00,13,1024,400,160,26,False,False,4,tied
624,85.00,13,1024,400,160,26,False,False,8,tied
625,85.00,13,1024,400,200,26,False,False,12,tied
626,85.00,13,1024,400,200,32,False,False,12,tied
627,85.00,13,1024,512,160,26,False,False,4,tied
628,85.00,13,1024,512,160,26,False,False,12,tied
629,85.00,16,512,400,160,26,False,False,4,tied
630,85.00,16,512,400,160,26,False,False,8,tied
631,85.00,16,512,400,200,26,False,False,8,tied
632,85.00,16,512,400,200,32,False,False,8,tied
633,85.00,16,512,400,200,32,False,False,12,tied
634,85.00,16,512,512,200,26,False,False,12,tied
635,85.00,16,1024,400,160,26,False,False,12,tied
636,85.00,16,1024,400,200,32,False,False,8,tied
637,85.00,16,1024,512,160,26,False,False,12,tied
638,85.00,16,1024,512,200,32,False,False,12,diag
639,85.00,16,1024,512,200,32,False,False,12,tied
640,85.00,20,512,400,160,26,True,False,8,tied
641,85.00,20,512,400,160,26,True,True,12,diag
642,85.00,20,512,400,200,26,False,False,8,diag
643,85.00,20,512,400,200,26,True,False,4,tied
644,85.00,20,512,400,200,26,True,True,4,tied
645,85.00,20,512,400,200,26,True,False,12,tied
646,85.00,20,512,400,200,32,False,False,4,tied
647,85.00,20,512,400,200,26,True,True,8,tied
648,85.00,20,512,400,200,26,True,True,12,tied
649,85.00,20,512,400,200,32,True,False,12,diag
650,85.00,20,512,400,200,32,True,True,12,tied
651,85.00,20,512,512,160,26,True,False,12,diag
652,85.00,20,512,512,160,26,True,True,8,diag
653,85.00,20,512,512,200,26,True,True,4,tied
654,85.00,20,512,512,200,32,False,False,4,tied
655,85.00,20,512,512,200,32,False,False,12,tied
656,85.00,20,1024,400,160,26,True,False,8,tied
657,85.00,20,1024,400,160,26,True,True,12,diag
658,85.00,20,1024,400,200,26,True,False,8,diag
659,85.00,20,1024,400,200,26,True,False,4,tied
660,85.00,20,1024,400,200,26,True,True,4,tied
661,85.00,20,1024,400,200,26,True,False,12,tied
662,85.00,20,1024,400,200,32,False,False,4,tied
663,85.00,20,1024,400,200,26,True,True,8,tied
664,85.00,20,1024,400,200,32,False,False,8,tied
665,85.00,20,1024,400,200,26,True,True,12,tied
666,85.00,20,1024,512,160,26,True,True,8,diag
667,85.00,20,1024,512,160,26,True,False,12,tied
668,85.00,20,1024,512,200,26,True,True,4,tied
669,85.00,20,1024,512,200,32,False,False,4,tied
670,82.50,13,512,400,160,32,False,False,12,diag
671,82.50,13,512,400,160,32,False,False,12,tied
672,82.50,13,512,400,200,26,False,False,12,tied
673,82.50,13,512,400,200,32,False,False,12,diag
674,82.50,13,512,512,160,26,False,False,12,tied
675,82.50,13,1024,400,160,32,False,False,12,diag
676,82.50,13,1024,400,200,32,False,False,8,tied
677,82.50,13,1024,512,160,26,False,False,12,diag
678,82.50,13,1024,512,200,26,False,False,12,tied
679,82.50,13,1024,512,200,32,False,False,12,diag
680,82.50,16,512,400,160,26,False,False,12,diag
681,82.50,16,512,400,200,26,False,False,8,diag
682,82.50,16,512,512,160,26,False,False,8,diag
683,82.50,16,512,512,160,32,False,False,8,diag
684,82.50,16,512,512,160,32,False,False,12,diag
685,82.50,16,512,512,200,32,False,False,4,diag
686,82.50,16,512,512,200,32,False,False,12,diag
687,82.50,16,512,512,200,32,False,False,12,tied
688,82.50,16,1024,400,160,26,False,False,8,tied
689,82.50,16,1024,400,160,26,False,False,12,diag
690,82.50,16,1024,400,200,26,False,False,12,diag
691,82.50,16,1024,512,160,26,False,False,8,diag
692,82.50,16,1024,512,160,32,False,False,12,diag
693,82.50,16,1024,512,200,26,False,False,12,diag
694,82.50,16,1024,512,200,26,False,False,12,tied
695,82.50,16,1024,512,200,32,False,False,4,diag
696,82.50,20,512,400,160,26,False,False,4,tied
697,82.50,20,512,400,160,26,False,False,8,tied
698,82.50,20,512,400,160,26,False,False,12,tied
699,82.50,20,512,400,160,32,False,False,4,tied
700,82.50,20,512,400,160,32,False,False,8,tied
701,82.50,20,512,400,160,32,False,False,12,diag
702,82.50,20,512,400,200,26,False,False,8,tied
703,82.50,20,512,512,160,26,False,False,8,tied
704,82.50,20,512,512,160,32,False,False,4,tied
705,82.50,20,512,512,160,26,True,False,12,tied
706,82.50,20,512,512,160,32,False,False,8,tied
707,82.50,20,512,512,160,32,False,False,12,tied
708,82.50,20,512,512,200,26,False,False,12,tied
709,82.50,20,512,512,200,26,True,True,12,tied
710,82.50,20,1024,400,160,26,False,False,8,tied
711,82.50,20,1024,400,160,26,False,False,12,tied
712,82.50,20,1024,400,160,32,False,False,4,tied
713,82.50,20,1024,400,160,32,False,False,12,diag
714,82.50,20,1024,400,160,32,False,False,12,tied
715,82.50,20,1024,400,200,26,False,False,8,diag
716,82.50,20,1024,400,200,26,False,False,8,tied
717,82.50,20,1024,400,200,32,False,False,12,tied
718,82.50,20,1024,512,160,26,False,False,12,tied
719,82.50,20,1024,512,160,26,False,False,8,tied
720,82.50,20,1024,512,160,32,False,False,4,tied
721,82.50,20,1024,512,160,32,False,False,12,tied
722,82.50,20,1024,512,200,26,False,False,12,tied
723,82.50,20,1024,512,200,32,False,False,12,diag
724,82.50,20,1024,512,200,26,True,True,12,tied
725,82.50,20,1024,512,200,32,True,True,12,tied
726,80.00,13,512,400,160,26,False,False,8,diag
727,80.00,13,512,400,200,32,False,False,8,diag
728,80.00,13,512,512,160,26,False,False,4,diag
729,80.00,13,512,512,160,32,False,False,4,diag
730,80.00,13,1024,512,160,26,False,False,8,diag
731,80.00,16,512,400,160,32,False,False,8,diag
732,80.00,16,512,400,160,32,False,False,12,tied
733,80.00,16,512,400,200,26,False,False,12,diag
734,80.00,16,512,400,200,32,False,False,12,diag
735,80.00,16,512,512,160,26,False,False,4,diag
736,80.00,16,512,512,160,32,False,False,4,diag
737,80.00,16,512,512,200,26,False,False,4,diag
738,80.00,16,512,512,200,26,False,False,8,diag
739,80.00,16,512,512,200,26,False,False,12,diag
740,80.00,16,1024,400,200,26,False,False,8,diag
741,80.00,16,1024,512,160,26,False,False,4,diag
742,80.00,16,1024,512,160,26,False,False,12,diag
743,80.00,16,1024,512,160,32,False,False,4,diag
744,80.00,16,1024,512,160,32,False,False,8,diag
745,80.00,16,1024,512,200,26,False,False,4,diag
746,80.00,16,1024,512,200,26,False,False,8,diag
747,80.00,20,512,400,160,26,False,False,12,diag
748,80.00,20,512,400,160,32,False,False,12,tied
749,80.00,20,512,400,200,26,False,False,12,tied
750,80.00,20,512,400,200,32,False,False,8,diag
751,80.00,20,512,400,200,32,False,False,12,diag
752,80.00,20,512,400,200,32,False,False,12,tied
753,80.00,20,512,512,160,26,False,False,12,tied
754,80.00,20,512,512,160,32,False,False,12,diag
755,80.00,20,512,512,200,26,False,False,12,diag
756,80.00,20,512,512,200,32,False,False,8,tied
757,80.00,20,1024,400,160,26,False,False,4,tied
758,80.00,20,1024,400,160,26,False,False,8,diag
759,80.00,20,1024,400,160,32,False,False,8,tied
760,80.00,20,1024,400,200,26,False,False,12,diag
761,80.00,20,1024,400,200,26,False,False,12,tied
762,80.00,20,1024,400,200,32,False,False,8,diag
763,80.00,20,1024,400,200,32,False,False,12,diag
764,80.00,20,1024,512,160,26,False,False,8,diag
765,80.00,20,1024,512,160,32,False,False,8,tied
766,80.00,20,1024,512,160,32,False,False,12,diag
767,80.00,20,1024,512,200,26,False,False,8,tied
768,80.00,20,1024,512,200,32,False,False,8,tied
769,77.50,13,512,400,160,26,False,False,4,diag
770,77.50,13,512,400,160,26,False,False,12,diag
771,77.50,13,512,400,160,32,False,False,4,diag
772,77.50,13,512,400,160,32,False,False,8,diag
773,77.50,13,512,400,200,26,False,False,8,diag
774,77.50,13,512,400,200,26,False,False,12,diag
775,77.50,13,512,512,160,26,False,False,8,diag
776,77.50,13,512,512,160,32,False,False,12,diag
777,77.50,13,512,512,200,26,False,False,4,diag
778,77.50,13,512,512,200,26,False,False,12,diag
779,77.50,13,512,512,200,32,False,False,4,diag
780,77.50,13,512,512,200,32,False,False,8,diag
781,77.50,13,1024,400,160,26,False,False,4,diag
782,77.50,13,1024,400,160,26,False,False,8,diag
783,77.50,13,1024,400,160,32,False,False,4,diag
784,77.50,13,1024,400,160,32,False,False,8,diag
785,77.50,13,1024,400,200,26,False,False,8,diag
786,77.50,13,1024,400,200,26,False,False,12,diag
787,77.50,13,1024,400,200,32,False,False,12,diag
788,77.50,13,1024,512,160,26,False,False,4,diag
789,77.50,13,1024,512,160,32,False,False,4,diag
790,77.50,13,1024,512,200,26,False,False,4,diag
791,77.50,13,1024,512,200,26,False,False,8,diag
792,77.50,13,1024,512,200,26,False,False,12,diag
793,77.50,13,1024,512,200,32,False,False,4,diag
794,77.50,16,512,400,160,26,False,False,8,diag
795,77.50,16,512,400,160,32,False,False,4,diag
796,77.50,16,512,400,160,32,False,False,12,diag
797,77.50,16,512,400,200,26,False,False,4,diag
798,77.50,16,512,400,200,32,False,False,8,diag
799,77.50,16,512,400,200,32,False,False,4,diag
800,77.50,16,512,512,160,26,False,False,12,diag
801,77.50,16,512,512,200,32,False,False,8,diag
802,77.50,16,1024,400,160,26,False,False,4,diag
803,77.50,16,1024,400,160,32,False,False,4,diag
804,77.50,16,1024,400,160,32,False,False,12,diag
805,77.50,16,1024,400,160,32,False,False,8,diag
806,77.50,16,1024,400,200,26,False,False,4,diag
807,77.50,16,1024,400,200,32,False,False,4,diag
808,77.50,16,1024,400,200,32,False,False,8,diag
809,77.50,16,1024,512,200,32,False,False,8,diag
810,77.50,20,512,400,160,26,False,False,4,diag
811,77.50,20,512,400,160,26,False,False,8,diag
812,77.50,20,512,400,200,26,False,False,4,diag
813,77.50,20,512,400,200,26,False,False,4,tied
814,77.50,20,512,512,160,26,False,False,8,diag
815,77.50,20,512,512,160,26,False,False,4,tied
816,77.50,20,512,512,160,26,False,False,12,diag
817,77.50,20,512,512,200,26,False,False,4,diag
818,77.50,20,512,512,200,26,False,False,4,tied
819,77.50,20,512,512,200,26,False,False,8,diag
820,77.50,20,512,512,200,26,False,False,8,tied
821,77.50,20,1024,400,160,26,False,False,12,diag
822,77.50,20,1024,400,200,26,False,False,4,diag
823,77.50,20,1024,400,200,26,False,False,4,tied
824,77.50,20,1024,512,160,26,False,False,4,tied
825,77.50,20,1024,512,160,26,False,False,12,diag
826,77.50,20,1024,512,200,26,False,False,4,diag
827,77.50,20,1024,512,200,26,False,False,4,tied
828,77.50,20,1024,512,200,26,False,False,12,diag
829,75.00,13,512,400,200,32,False,False,4,diag
830,75.00,13,512,512,160,32,False,False,8,diag
831,75.00,13,512,512,200,26,False,False,8,diag
832,75.00,13,1024,400,160,26,False,False,12,diag
833,75.00,13,1024,400,200,26,False,False,4,diag
834,75.00,13,1024,400,200,32,False,False,4,diag
835,75.00,13,1024,400,200,32,False,False,8,diag
836,75.00,13,1024,512,160,32,False,False,8,diag
837,75.00,13,1024,512,160,32,False,False,12,diag
838,75.00,16,512,400,160,26,False,False,4,diag
839,75.00,16,1024,400,200,32,False,False,12,diag
840,75.00,20,512,400,200,26,False,False,12,diag
841,75.00,20,512,400,200,32,False,False,4,diag
842,75.00,20,512,512,160,26,False,False,4,diag
843,75.00,20,512,512,160,32,False,False,4,diag
844,75.00,20,512,512,160,32,False,False,8,diag
845,75.00,20,512,512,200,32,False,False,4,diag
846,75.00,20,512,512,200,32,False,False,8,diag
847,75.00,20,512,512,200,32,False,False,12,diag
848,75.00,20,1024,400,200,32,False,False,4,diag
849,75.00,20,1024,512,160,26,False,False,4,diag
850,75.00,20,1024,512,160,32,False,False,4,diag
851,75.00,20,1024,512,160,32,False,False,8,diag
852,75.00,20,1024,512,200,26,False,False,8,diag
853,75.00,20,1024,512,200,32,False,False,4,diag
854,75.00,20,1024,512,200,32,False,False,8,diag
855,72.50,13,512,400,200,26,False,False,4,diag
856,72.50,13,1024,512,200,32,False,False,8,diag
857,72.50,16,1024,400,160,26,False,False,8,diag
858,72.50,20,512,400,160,32,False,False,4,diag
859,72.50,20,512,400,160,32,False,False,8,diag
860,72.50,20,1024,400,160,26,False,False,4,diag
861,72.50,20,1024,400,160,32,False,False,4,diag
862,72.50,20,1024,400,160,32,False,False,8,diag
