rank,accuracy,n_mfcc,n_fft,win_len,hop_len,n_mels,delta,delta2,gmm_comp,gmm_cov
109,92.50,13,512,400,160,32,True,True,8,tied
110,92.50,13,512,400,200,26,True,False,4,tied
111,92.50,13,512,400,200,26,True,False,8,tied
112,92.50,13,512,400,200,26,True,False,12,diag
113,92.50,13,512,400,200,26,True,True,4,tied
114,92.50,13,512,400,200,26,True,True,8,diag
115,92.50,13,512,400,200,26,True,False,12,tied
116,92.50,13,512,400,200,32,True,False,4,tied
117,92.50,13,512,400,200,32,True,False,8,tied
118,92.50,13,512,400,200,32,True,True,8,diag
119,92.50,13,512,400,200,32,True,True,8,tied
120,92.50,13,512,512,160,26,True,False,4,tied
121,92.50,13,512,512,160,26,True,False,8,tied
122,92.50,13,512,512,160,26,True,False,12,tied
123,92.50,13,512,512,160,26,True,True,8,diag
124,92.50,13,512,512,160,26,True,True,12,tied
125,92.50,13,512,512,160,32,True,False,4,tied
126,92.50,13,512,512,160,32,True,False,12,diag
127,92.50,13,512,512,160,32,True,False,8,diag
128,92.50,13,512,512,160,32,True,False,8,tied
129,92.50,13,512,512,160,32,True,False,12,tied
130,92.50,13,512,512,160,32,True,True,8,diag
131,92.50,13,512,512,160,32,True,True,8,tied
132,92.50,13,512,512,160,32,True,True,12,diag
133,92.50,13,512,512,160,32,True,True,12,tied
134,92.50,13,512,512,200,26,True,False,4,tied
135,92.50,13,512,512,200,26,True,False,8,tied
136,92.50,13,512,512,200,26,True,False,12,tied
137,92.50,13,512,512,200,26,True,True,12,diag
138,92.50,13,512,512,200,26,True,True,8,tied
139,92.50,13,512,512,200,32,True,False,4,tied
140,92.50,13,512,512,200,32,True,False,8,diag
141,92.50,13,512,512,200,32,True,False,8,tied
142,92.50,13,512,512,200,32,True,True,8,diag
143,92.50,13,512,512,200,32,True,True,8,tied
144,92.50,13,512,512,200,32,True,True,12,tied
145,92.50,13,1024,400,160,26,False,False,12,tied
146,92.50,13,1024,400,160,26,True,False,4,diag
147,92.50,13,1024,400,160,26,True,False,4,tied
148,92.50,13,1024,400,160,26,True,False,8,tied
149,92.50,13,1024,400,160,26,True,False,12,diag
150,92.50,13,1024,400,160,26,True,False,12,tied
151,92.50,13,1024,400,160,32,False,False,8,tied
152,92.50,13,1024,400,160,32,True,False,4,diag
153,92.50,13,1024,400,160,32,True,False,4,tied
154,92.50,13,1024,400,160,32,True,False,8,tied
155,92.50,13,1024,400,160,32,True,True,4,diag
156,92.50,13,1024,400,160,32,True,False,12,tied
157,92.50,13,1024,400,160,32,True,True,8,diag
158,92.50,13,1024,400,160,32,True,True,8,tied
159,92.50,13,1024,400,160,32,True,True,12,diag
